TagCode,GroupCode,ServerCode,TagName,DataType,DataSize,DataCount,Address,ClassName,DisplayOrder,Archive,Cycle,AutoSync,Active,ReadOnly,Remark,CreateTime,UpdateTime,RowVersion,
PermitGet01,AGV,WCSServer,允许取货01,7,4,1,DB542.DINT12,AGV01取货口,1,1,1,0,1,0,,23-11月-19,30-11月-19,C8B3C3365CFACC4AB6D9840D59A3CCAD,
GetCompleted01,AGV,WCSServer,取货完成01,7,4,4,DB543.DINT48,AGV01取货口,1,1,1,0,1,0,,23-11月-19,30-11月-19,7A15985ADE9DF94EACCF3EB12535F8B3,
PermitPut03,AGV,WCSServer,允许放货,7,4,1,DB552.DINT8,AGV放货口,1,1,1,0,1,0,,23-11月-19,23-11月-19,712C7B79A478654EAF3B9C54F8DD0625,
PutCompleted03,AGV,WCSServer,放货完成 ,7,4,6,DB553.DINT48,AGV放货口,1,1,1,0,1,0,,23-11月-19,23-11月-19,4227A4B6D3FF244CA0E489D456154C30,
PutCompletedReceived03,AGV,WCSServer,放货接收完成,7,4,1,DB554.DINT8,AGV放货口,1,1,1,0,1,0,,23-11月-19,23-11月-19,5EA91E8F4BADEC46A61F39A8270E0A9B,
PutCompletedReceived01,CR,WCSServer,放货接收完成,7,4,1,DB554.DINT0,1号堆垛机,1,1,1,0,1,0,,23-11月-19,28-11月-19,F9366F5F197B8743BB607E7FE0EEE07D,
PutCompletedReceived02,CR,WCSServer,放货接收完成,7,4,1,DB554.DINT4,2号堆垛机,1,1,1,0,1,0,,23-11月-19,28-11月-19,013691AF5458CC4A8D05056101090E2A,
RequestGet01,AGV,WCSServer,请求取货01,7,4,4,DB541.DINT48,AGV01取货口,1,1,1,0,1,0,,23-11月-19,30-11月-19,020FEBCAE331B14EBF9238CE15FE4F1F,
RequestPut03,AGV,WCSServer,请求放货,7,4,1,DB551.DINT8,AGV放货口,1,1,1,0,1,0,,23-11月-19,23-11月-19,3445635FFECE9242ACD881960F580BF7,
i16_ActLH,InteractiveGroup,CR01Server,ActLH,4,2,1,DB61.INT12,CRREP,6,1,1,0,1,0,,22-11月-19,22-11月-19,575C3131E90089489F0CBE842FB9C619,
i16_ActPosition,InteractiveGroup,CR01Server,"[Ap,PosA,PosR,PosXF,PosXP,PosY,PosZ]",4,2,7,DB61.INT14,CRREP,7,1,1,0,1,0,,22-11月-19,22-11月-19,38DA21F77898EF40A83D024C5D194F87,
i16_BSCmd,InteractiveGroup,CR01Server,BSCmd,4,2,1,DB60.INT0,CRCMD,1,1,1,0,1,0,,22-11月-19,22-11月-19,FDEC67279885A948B65394EEB91800CD,
i16_BSRep,InteractiveGroup,CR01Server,BSRep,4,2,1,DB61.INT0,CRREP,1,1,1,0,1,0,,22-11月-19,22-11月-19,F5B3D06B1BEA3B4BA7287888C2D74F6E,
