PalletTypeCode,PalletTypeName,Active,Remark,CreateTime,UpdateTime,RowVersion
0000,托盘组,1,,2018-12-07 11:35:29.510,2018-12-07 11:35:29.510,0xDD49998F08A2934099C5D35DA09B4DBB
1001,通包盘,1,通用包装盘,2018-12-07 11:19:43.073,2018-12-07 11:39:19.250,0xDD49998F08A2934099C5D35DA09B4DBB
1002,商标纸,1,,2018-12-07 11:21:01.987,2018-12-07 11:21:40.070,0xDD49998F08A2934099C5D35DA09B4DBB
1003,卷接盘,1,,2018-12-07 11:29:35.160,2018-12-15 09:08:10.277,0x94546F474F05184EA28C206087E14209
1004,咀棒盘,1,,2018-12-07 11:30:26.890,2018-12-17 10:16:13.397,0x655F3A6D6C88D44E84FAE74513469CF4
1005,混包盘,1,混合包装盘,2018-12-07 11:38:19.317,2018-12-17 10:16:17.853,0xC1D83967C9521C409C92AB345BC4A48C
1006,通包盘(福克),1,一号机 通包盘(福克),2018-12-10 10:55:41.847,2019-04-10 16:06:09.650,0x72F3BC7AB83B3F46AD2BCDD8CC505601
1007,条盒商标纸(软),1,,2018-12-20 12:16:16.167,2018-12-20 12:17:03.057,0xD6B800A1CA0FED4E8A8D95A8D37458A7
1008,小盒商标纸(软),1,,2018-12-20 12:16:56.290,2018-12-20 12:16:56.290,0xE98654C72F67C84AB8665A11F2419B6A
2001,纸箱,1,,2018-12-07 11:35:55.450,2019-01-02 13:14:25.977,0x067AA9CAE414BB478BEDCAEAE62C337E
2002,纸箱(回收),1,,2018-12-17 11:30:44.540,2019-04-10 09:31:16.373,0x2ABBDCC19B011F4FBEF3B58CBA9FB080
3001,丝束,1,,2018-12-07 11:36:11.747,2018-12-07 11:36:11.747,0xDD49998F08A2934099C5D35DA09B4DBB
3002,成型纸,1,,2018-12-07 11:36:30.570,2018-12-07 11:36:30.570,0xDD49998F08A2934099C5D35DA09B4DBB
