ProductCode,ProductName,ProductNo,FullPhoneticize,ShortPhoneticize,DisplayOrder,UniformCode,FacturerCode,CargoOwnerCode,Abnormity,Length,Width,Height,Active,IsBigProduct,SortNo,Remark,ProductCategoryCode,ProductBreedCode,ProductPatternCode,ProductGradeCode,ProductOriginCode,Year,Weight,CreateTime,UpdateTime,RowVersion
030101005,醋纤丝束3.0Y32000D,0,CuXianSiShu3.0Y32000D,CXSS3.0Y32000D,0,,,NULL,0,0,0,0,1,0,0,,,,,,,,0.00,2018-11-16 11:24:16.010,2019-01-05 14:03:28.280,0x84C7DCC46360344FA7A33E58C3557DBC
030301003,成型纸28g*26.5mm*5000m,0,ChengXingZhi28g*26.5mm*5000m,CXZ28g*26.5mm*5000m,0,,,NULL,0,0,0,0,1,0,0,,,,,,,,0.00,2018-11-16 11:24:39.060,2019-01-05 17:13:53.533,0xD6EBC01C6E3D54439C394F92252E67FD
030401024,醋纤滤棒23.9mm*100mm*2800pa,0,CuXianLvBang23.9mm*100mm*2800pa,CXLB23.9mm*100mm*2800pa,0,,,NULL,0,0,0,0,1,0,0,,,,,,,,0.00,2018-11-16 11:22:41.483,2018-11-21 13:22:35.050,0x0E1EDDA8C4F80F4994E9274F7ED25CF1
030401026,醋纤滤棒23.9mm*100mm*3000pa,0,CuXianLvBang23.9mm*100mm*3000pa,CXLB23.9mm*100mm*3000pa,0,,,NULL,0,0,0,0,1,0,0,,,,,,,,0.00,2018-11-16 11:26:48.717,2018-12-08 15:55:52.390,0xB741367E0DEEF34D9BC6CA5D08FABDB3
030501002,HH150-S卷烟纸26.5g*26.5mm*5000m,0,HH150-SJuanYanZhi26.5g*26.5mm*5000m,HH150-SJYZ26.5g*26.5mm*5000m,0,,,NULL,0,0,0,0,1,0,0,,,,,,,,0.00,2018-11-16 11:23:00.810,2019-01-05 10:30:41.647,0x6AC09E74EA3DE84E8E8061781E84FF1A
030501009,40CU卷烟纸27g*26.5mm*5000m,0,40CUJuanYanZhi27g*26.5mm*5000m,40CUJYZ27g*26.5mm*5000m,0,,,NULL,0,0,0,0,1,0,0,,,,,,,,0.00,2018-11-22 10:47:08.250,2019-01-05 13:46:29.527,0xEE94F10898DF264A998FA00C767259EA
030501012,QF60横罗纹卷烟纸30g*26.5mm*5000m,0,QF60HengLuoWenJuanYanZhi30g*26.5mm*5000m,QF60HLWJYZ30g*26.5mm*5000m,0,,,NULL,0,0,0,0,1,0,0,,,,,,,,0.00,2018-11-16 11:27:00.697,2019-01-05 14:16:40.447,0x3F6EC472C79E7040A2B370E8A5FAED08
030502010,30.0A60W竖纹卷烟纸30g*26.5mm*4500m,0,30.0A60WShuWenJuanYanZhi30g*26.5mm*4500m,30.0A60WSWJYZ30g*26.5mm*4500m,0,,,NULL,0,0,0,0,1,0,0,,,,,,,,0.00,2018-11-16 11:32:30.053,2019-01-05 13:57:09.100,0x3034ED734BE245419E741586FD1246CB
030502018,29.0A60W竖纹卷烟纸29g*26.5mm*5000m,0,29.0A60WShuWenJuanYanZhi29g*26.5mm*5000m,29.0A60WSWJYZ29g*26.5mm*5000m,0,,,NULL,0,0,0,0,1,0,0,,,,,,,,0.00,2018-11-16 11:31:28.023,2019-01-05 11:19:14.420,0x5EBE79B18D3C5C4495B815F85B9526D9
030601038,贵烟(硬黄精品)接装纸39g*60mm*2500m,0,GuiYanYingHuangJingPinJieZhuangZhi39g*60mm*2500m,GYYHJPJZZ39g*60mm*2500m,0,,,NULL,0,0,0,0,1,0,0,,,,,,,,0.00,2018-11-16 11:32:19.157,2019-01-05 13:57:48.123,0xF5CF420154B2C1428E5299D46BDC0958
030601048,黄果树(佳遵)接装纸39g*60mm*2500m,0,HuangGuoShuJiaZunJieZhuangZhi39g*60mm*2500m,HGSJZJZZ39g*60mm*2500m,0,,,NULL,0,0,0,0,1,0,0,,,,,,,,0.00,2018-11-16 11:34:18.030,2019-01-05 11:20:15.240,0x95E018FAA8945042ABF9CA3A82481ED8
030601055,黄果树(蓝佳品)接装纸39g*60mm*2500m,0,HuangGuoShuLanJiaPinJieZhuangZhi39g*60mm*2500m,HGSLJPJZZ39g*60mm*2500m,0,,,NULL,0,0,0,0,1,0,0,,,,,,,,0.00,2018-11-16 11:27:34.750,2019-01-05 14:15:02.563,0x6DA2F5207C308E43805F3E8E0CA1A8FF
030601060,黄果树（长征）接装纸（7.7专用）38.5g*60mm*2500m,0,HuangGuoShuChangZhengJieZhuangZhi7.7ZhuanYong38.5g*60mm*2500m,HGSCZJZZ7.7ZY38.5g*60mm*2500m,0,,,NULL,0,0,0,0,1,0,0,,,,,,,,0.00,2019-06-22 12:33:24.027,2019-06-22 12:34:59.757,0x26E2F286C6F12045AEB2D2A58ECCEFDF
030602009,普通接装纸34g*60mm*2500m,0,PuTongJieZhuangZhi34g*60mm*2500m,PTJZZ34g*60mm*2500m,0,,,NULL,0,0,0,0,1,0,0,,,,,,,,0.00,2018-11-16 11:23:43.423,2019-01-05 13:40:51.843,0xF6B6257816A69D47AA3B4ED443CB6625
030702003,黄果树(软)合皮102*159沙西,0,HuangGuoShuRuanHePi102*159ShaXi,HGSRHP102*159SX,0,,,NULL,0,0,0,0,1,0,0,,,,,,,,0.00,2018-11-16 11:25:13.477,2019-01-05 13:41:43.533,0x11F14C68C5665B4AB4A35511801B0065
030702010,遵义软(01)小盒商标纸(BE),0,ZunYiRuan01XiaoHeShangBiaoZhiBE,ZYR01XHSBZBE,0,,,NULL,0,0,0,0,1,0,0,,,,,,,,0.00,2018-11-16 10:50:35.903,2018-12-08 16:19:18.367,0x205BA50FB62AAF41885059BAD8BD6A26
030711014,黄果树(佳遵)小盒商标纸,0,HuangGuoShuJiaZunXiaoHeShangBiaoZhi,HGSJZXHSBZ,0,,,NULL,0,0,0,0,1,0,0,,,,,,,,0.00,2018-11-16 11:28:22.673,2019-01-05 10:42:02.060,0x0DC8AE964D90914EA7539AC8E33B5596
030714006,贵烟(硬黄精品)小盒,0,GuiYanYingHuangJingPinXiaoHe,GYYHJPXH,0,,,NULL,0,0,0,0,1,0,0,,,,,,,,0.00,2018-11-16 11:32:59.037,2019-01-05 16:50:26.043,0x69127BB6A21F3547A4E391F8EF7414FC
030715006,黄果树(蓝佳品)小合245*98GDX2,0,HuangGuoShuLanJiaPinXiaoHe245*98GDX2,HGSLJPXH245*98GDX2,0,,,NULL,0,0,0,0,1,0,0,,,,,,,,0.00,2018-11-16 11:19:45.657,2019-01-05 14:44:05.177,0x87EB9BAF538F5940AB3B49B5CB251214
030715012,黄果树(长征)小盒,0,HuangGuoShuChangZhengXiaoHe,HGSCZXH,0,,,NULL,0,0,0,0,1,0,0,,,,,,,,0.00,2019-06-22 12:22:54.997,2019-06-22 12:23:58.517,0x3E06B1765C196942930D0C479C3FCF2F
030801003,遵义软(01)条盒商标纸(BE),0,ZunYiRuan01TiaoHeShangBiaoZhiBE,ZYR01THSBZBE,0,,,NULL,0,0,0,0,1,0,0,,,,,,,,0.00,2018-11-16 11:17:36.290,2019-01-05 11:29:01.050,0xC0551B0C4F060F4195885554E45548F8
030802006,黄果树(佳遵)条盒商标纸,0,HuangGuoShuJiaZunTiaoHeShangBiaoZhi,HGSJZTHSBZ,0,,,NULL,0,0,0,0,1,0,0,,,,,,,,0.00,2018-11-16 11:28:32.053,2019-01-04 08:58:48.263,0x6A1679910064134F8C36E248754F1494
030805004,黄果树(软)条合364*292.5沙西,0,HuangGuoShuRuanTiaoHe364*292.5ShaXi,HGSRTH364*292.5SX,0,,,NULL,0,0,0,0,1,0,0,,,,,,,,0.00,2018-11-16 11:25:41.007,2019-01-05 14:38:32.617,0x670F20AA93D0A04F97B0F81806B11DCB
030899008,黄果树(蓝佳品)条合374.5*295GDX2,0,HuangGuoShuLanJiaPinTiaoHe374.5*295GDX2,HGSLJPTH374.5*295GDX2,0,,,NULL,0,0,0,0,1,0,0,,,,,,,,0.00,2018-11-16 11:20:23.423,2019-01-05 14:52:58.300,0xEA810E67EE75564BBC9C8229F84C12E9
