UnitCode,UnitName,TransferRate,Active,CreateTime,UpdateTime,RowVersion
100,万支,10000,1,2018-11-16 11:02:21.257,2018-12-27 16:19:29.987,0xBAC361FAE583F0439F5E1F0E7391F908
101,条,1,1,2018-11-16 11:02:32.967,2018-11-16 11:02:32.967,0x1FFDC887201F9B479B273E4A642CE96B
102,万张,10000,1,2018-11-16 11:02:43.453,2018-12-27 16:19:34.990,0x66891D96DE37744A9B8A9B7747BA6FCA
103,万米,10000,1,2018-11-16 11:02:54.883,2018-12-27 16:19:41.667,0xB17C5BBFFA566D4EAC7A1FF50F0EDC52
200,公斤,1000,1,2018-11-16 11:03:11.337,2018-12-27 16:19:46.800,0x0B57D6F73C6916438A45B40422784097
201,件,1,1,2018-11-19 18:42:08.553,2018-11-19 18:42:08.553,0xF14E2454A507704A816E73099C8DEA3D
901,只,1,1,2018-11-16 12:14:13.793,2018-11-16 12:14:13.793,0xCC5D511C2E125E4BB9BE3664BA3C7C1F
902,个,1,1,2018-11-16 12:13:57.937,2018-11-16 12:13:57.937,0xC1C4926ADA701F45B33B76EFBF60E236
903,根,1,1,2018-11-16 12:14:28.983,2018-11-16 12:14:28.983,0x66576FAD18D3A545A1B389FD18887AD9
904,套,1,1,2018-11-16 12:14:37.323,2018-11-16 12:14:37.323,0x52D068E509C0E84C870733BE91739216
905,台,1,1,2018-11-16 12:14:45.060,2018-11-16 12:14:45.060,0xAE90871B4393064A8123D27E366E9192
908,米,1,1,2018-11-16 12:15:00.937,2018-11-16 12:15:00.937,0x36AAFA197939F247A3C9C5F7F8354D93
916,盒,1,1,2018-11-19 18:42:29.580,2018-11-19 18:42:29.580,0x02E8B493DF790543A9B46983A117005D
917,卷,1,1,2018-11-16 12:22:09.200,2018-11-16 12:22:09.200,0x37201253DE4D7A4FBAACD687EFD352B2
935,盘,1,1,2018-11-19 18:44:31.350,2018-11-19 18:44:31.350,0xCFF5311FF2FF4D45A1BB9F385F792DA2
